State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,VIZIANAGARAM,Coconut,2003-04,Whole Year,3153,Hectare,37285560,Nuts,11825.42341
Andhra Pradesh,WEST GODAVARI,Coconut,2001-02,Whole Year,22287,Hectare,208041750,Nuts,9334.668192
Andhra Pradesh,WEST GODAVARI,Coconut,2002-03,Whole Year,22093,Hectare,224101800,Nuts,10143.56584
Andhra Pradesh,WEST GODAVARI,Coconut,2003-04,Whole Year,21985,Hectare,226058352,Nuts,10282.39036
Assam,BARPETA,Coconut,2001-02,Whole Year,1130,Hectare,8218000,Nuts,7272.566372
Assam,BARPETA,Coconut,2002-03,Whole Year,957,Hectare,4997000,Nuts,5221.525601
Assam,BARPETA,Coconut,2003-04,Whole Year,951,Hectare,6010000,Nuts,6319.663512
Assam,BONGAIGAON,Coconut,2001-02,Whole Year,633,Hectare,5006000,Nuts,7908.372828
Assam,BONGAIGAON,Coconut,2002-03,Whole Year,661,Hectare,5534000,Nuts,8372.163389
Assam,BONGAIGAON,Coconut,2003-04,Whole Year,718,Hectare,5925000,Nuts,8252.089136
Assam,CACHAR,Coconut,2001-02,Whole Year,1431,Hectare,2553000,Nuts,1784.067086
Assam,CACHAR,Coconut,2002-03,Whole Year,1450,Hectare,1785000,Nuts,1231.034483
Assam,CACHAR,Coconut,2003-04,Whole Year,1400,Hectare,2168000,Nuts,1548.571429
Assam,DARRANG,Coconut,2001-02,Whole Year,1050,Hectare,8639000,Nuts,8227.619048
Assam,DARRANG,Coconut,2002-03,Whole Year,1048,Hectare,2832000,Nuts,2702.290076
Assam,DARRANG,Coconut,2003-04,Whole Year,1070,Hectare,7711000,Nuts,7206.542056
Assam,DHEMAJI,Coconut,2001-02,Whole Year,116,Hectare,523000,Nuts,4508.62069
Assam,DHEMAJI,Coconut,2002-03,Whole Year,118,Hectare,588000,Nuts,4983.050847
Assam,DHEMAJI,Coconut,2003-04,Whole Year,118,Hectare,517000,Nuts,4381.355932
Assam,DHUBRI,Coconut,2001-02,Whole Year,635,Hectare,986000,Nuts,1552.755906
Assam,DHUBRI,Coconut,2002-03,Whole Year,538,Hectare,2096000,Nuts,3895.910781
Assam,DHUBRI,Coconut,2003-04,Whole Year,590,Hectare,2826000,Nuts,4789.830508
Assam,DIBRUGARH,Coconut,2001-02,Whole Year,170,Hectare,886000,Nuts,5211.764706
Assam,DIBRUGARH,Coconut,2002-03,Whole Year,172,Hectare,821000,Nuts,4773.255814
Assam,DIBRUGARH,Coconut,2003-04,Whole Year,180,Hectare,571000,Nuts,3172.222222
Assam,DIMA HASAO,Coconut,2001-02,Whole Year,40,Hectare,309000,Nuts,7725
Assam,DIMA HASAO,Coconut,2002-03,Whole Year,43,Hectare,327000,Nuts,7604.651163
Assam,DIMA HASAO,Coconut,2003-04,Whole Year,46,Hectare,334000,Nuts,7260.869565
Assam,GOALPARA,Coconut,2001-02,Whole Year,601,Hectare,7955000,Nuts,13236.27288
Assam,GOALPARA,Coconut,2002-03,Whole Year,608,Hectare,6378000,Nuts,10490.13158
Assam,GOALPARA,Coconut,2003-04,Whole Year,610,Hectare,5685000,Nuts,9319.672131
Assam,GOLAGHAT,Coconut,2001-02,Whole Year,560,Hectare,5109000,Nuts,9123.214286
Assam,GOLAGHAT,Coconut,2002-03,Whole Year,566,Hectare,8169000,Nuts,14432.86219
Assam,GOLAGHAT,Coconut,2003-04,Whole Year,651,Hectare,11006000,Nuts,16906.298
Assam,HAILAKANDI,Coconut,2001-02,Whole Year,178,Hectare,740000,Nuts,4157.303371
Assam,HAILAKANDI,Coconut,2002-03,Whole Year,190,Hectare,419000,Nuts,2205.263158
Assam,HAILAKANDI,Coconut,2003-04,Whole Year,200,Hectare,487000,Nuts,2435
Assam,JORHAT,Coconut,2001-02,Whole Year,548,Hectare,6034000,Nuts,11010.94891
Assam,JORHAT,Coconut,2002-03,Whole Year,600,Hectare,5894000,Nuts,9823.333333
Assam,JORHAT,Coconut,2003-04,Whole Year,606,Hectare,3414000,Nuts,5633.663366
Assam,KAMRUP,Coconut,2001-02,Whole Year,2091,Hectare,23123000,Nuts,11058.34529
Assam,KAMRUP,Coconut,2002-03,Whole Year,2101,Hectare,22559000,Nuts,10737.26797
Assam,KAMRUP,Coconut,2003-04,Whole Year,2343,Hectare,19029000,Nuts,8121.638924
Assam,KARBI ANGLONG,Coconut,2001-02,Whole Year,396,Hectare,3038000,Nuts,7671.717172
Assam,KARBI ANGLONG,Coconut,2002-03,Whole Year,402,Hectare,1921000,Nuts,4778.606965
Assam,KARBI ANGLONG,Coconut,2003-04,Whole Year,408,Hectare,1595000,Nuts,3909.313725
Assam,KARIMGANJ,Coconut,2001-02,Whole Year,472,Hectare,1489000,Nuts,3154.661017
Assam,KARIMGANJ,Coconut,2002-03,Whole Year,474,Hectare,2682000,Nuts,5658.227848
Assam,KARIMGANJ,Coconut,2003-04,Whole Year,480,Hectare,1032000,Nuts,2150
Assam,KOKRAJHAR,Coconut,2001-02,Whole Year,325,Hectare,1722000,Nuts,5298.461538
Assam,KOKRAJHAR,Coconut,2002-03,Whole Year,330,Hectare,1672000,Nuts,5066.666667
Assam,KOKRAJHAR,Coconut,2003-04,Whole Year,335,Hectare,1976000,Nuts,5898.507463
Assam,LAKHIMPUR,Coconut,2001-02,Whole Year,192,Hectare,5044000,Nuts,26270.83333
Assam,LAKHIMPUR,Coconut,2002-03,Whole Year,200,Hectare,1800000,Nuts,9000
Assam,LAKHIMPUR,Coconut,2003-04,Whole Year,229,Hectare,2697000,Nuts,11777.29258
Assam,MARIGAON,Coconut,2001-02,Whole Year,1310,Hectare,7514000,Nuts,5735.877863
Assam,MARIGAON,Coconut,2002-03,Whole Year,1310,Hectare,9199000,Nuts,7022.137405
Assam,MARIGAON,Coconut,2003-04,Whole Year,1300,Hectare,9085000,Nuts,6988.461538
Assam,NAGAON,Coconut,2001-02,Whole Year,5036,Hectare,41786000,Nuts,8297.4583
Assam,NAGAON,Coconut,2002-03,Whole Year,5062,Hectare,52993000,Nuts,10468.78704
Assam,NAGAON,Coconut,2003-04,Whole Year,5050,Hectare,43216000,Nuts,8557.623762
Assam,NALBARI,Coconut,2001-02,Whole Year,2200,Hectare,14836000,Nuts,6743.636364
Assam,NALBARI,Coconut,2002-03,Whole Year,2110,Hectare,8101000,Nuts,3839.336493
Assam,NALBARI,Coconut,2003-04,Whole Year,2050,Hectare,11673000,Nuts,5694.146341
Assam,SIVASAGAR,Coconut,2001-02,Whole Year,579,Hectare,5039000,Nuts,8702.936097
Assam,SIVASAGAR,Coconut,2002-03,Whole Year,597,Hectare,4578000,Nuts,7668.341709
Assam,SIVASAGAR,Coconut,2003-04,Whole Year,581,Hectare,3786000,Nuts,6516.351119
Assam,SONITPUR,Coconut,2001-02,Whole Year,1303,Hectare,12864000,Nuts,9872.601688
Assam,SONITPUR,Coconut,2002-03,Whole Year,1307,Hectare,14242000,Nuts,10896.71002
Assam,SONITPUR,Coconut,2003-04,Whole Year,1319,Hectare,12879000,Nuts,9764.215315
Assam,TINSUKIA,Coconut,2001-02,Whole Year,71,Hectare,184000,Nuts,2591.549296
Assam,TINSUKIA,Coconut,2002-03,Whole Year,75,Hectare,690000,Nuts,9200
Assam,TINSUKIA,Coconut,2003-04,Whole Year,74,Hectare,662000,Nuts,8945.945946
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Coconut,2001-02,Kharif,180,Hectare,45000,Nuts,250
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Coconut,2002-03,Kharif,180,Hectare,45000,Nuts,250
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Coconut,2003-04,Kharif,180,Hectare,45000,Nuts,250
Goa,Goa,Coconut,2001-02,Whole Year,25025,Hectare,125120000,Nuts,4999.8002
Goa,Goa,Coconut,2002-03,Whole Year,25068,Hectare,122020000,Nuts,4867.560236
Goa,Goa,Coconut,2003-04,Whole Year,25110,Hectare,122220000,Nuts,4867.383513
Karnataka,BAGALKOT,Coconut,2001-02,Whole Year,1142,Hectare,5456000,Nuts,4777.583187
Karnataka,BAGALKOT,Coconut,2002-03,Whole Year,877,Hectare,4190000,Nuts,4777.651083
Karnataka,BAGALKOT,Coconut,2003-04,Whole Year,600,Hectare,2867000,Nuts,4778.333333
Karnataka,BANGALORE RURAL,Coconut,2001-02,Whole Year,21948,Hectare,78614000,Nuts,3581.829779
Karnataka,BANGALORE RURAL,Coconut,2002-03,Whole Year,21426,Hectare,76744000,Nuts,3581.816485
Karnataka,BANGALORE RURAL,Coconut,2003-04,Whole Year,20131,Hectare,72106000,Nuts,3581.838955
Karnataka,BELGAUM,Coconut,2001-02,Whole Year,200,Hectare,861000,Nuts,4305
Karnataka,BELGAUM,Coconut,2002-03,Whole Year,216,Hectare,930000,Nuts,4305.555556
Karnataka,BELGAUM,Coconut,2003-04,Whole Year,584,Hectare,2516000,Nuts,4308.219178
Karnataka,BELLARY,Coconut,2001-02,Whole Year,1264,Hectare,6035000,Nuts,4774.525316
Karnataka,BELLARY,Coconut,2002-03,Whole Year,1565,Hectare,7473000,Nuts,4775.079872
Karnataka,BELLARY,Coconut,2003-04,Whole Year,1312,Hectare,6264000,Nuts,4774.390244
Karnataka,BENGALURU URBAN,Coconut,2001-02,Whole Year,1959,Hectare,7017000,Nuts,3581.929556
Karnataka,BENGALURU URBAN,Coconut,2002-03,Whole Year,2008,Hectare,7192000,Nuts,3581.673307
Karnataka,BENGALURU URBAN,Coconut,2003-04,Whole Year,2565,Hectare,9187000,Nuts,3581.676413
Karnataka,BIDAR,Coconut,2001-02,Whole Year,27,Hectare,129000,Nuts,4777.777778
Karnataka,BIDAR,Coconut,2002-03,Whole Year,23,Hectare,110000,Nuts,4782.608696
Karnataka,BIDAR,Coconut,2003-04,Whole Year,23,Hectare,110000,Nuts,4782.608696
Karnataka,BIJAPUR,Coconut,2001-02,Whole Year,413,Hectare,1973000,Nuts,4777.239709
Karnataka,BIJAPUR,Coconut,2002-03,Whole Year,175,Hectare,836000,Nuts,4777.142857
Karnataka,BIJAPUR,Coconut,2003-04,Whole Year,206,Hectare,984000,Nuts,4776.699029
Karnataka,CHAMARAJANAGAR,Coconut,2001-02,Whole Year,7369,Hectare,19683000,Nuts,2671.054417
Karnataka,CHAMARAJANAGAR,Coconut,2002-03,Whole Year,7599,Hectare,20297000,Nuts,2671.009343
Karnataka,CHAMARAJANAGAR,Coconut,2003-04,Whole Year,7613,Hectare,20334000,Nuts,2670.957573
Karnataka,CHIKMAGALUR,Coconut,2001-02,Whole Year,31070,Hectare,58750000,Nuts,1890.891535
Karnataka,CHIKMAGALUR,Coconut,2002-03,Whole Year,31114,Hectare,58833000,Nuts,1890.885132
Karnataka,CHIKMAGALUR,Coconut,2003-04,Whole Year,31177,Hectare,58953000,Nuts,1890.913173
Karnataka,CHITRADURGA,Coconut,2001-02,Whole Year,39311,Hectare,172562000,Nuts,4389.661927
Karnataka,CHITRADURGA,Coconut,2002-03,Whole Year,39618,Hectare,173910000,Nuts,4389.671362
Karnataka,CHITRADURGA,Coconut,2003-04,Whole Year,43254,Hectare,189870000,Nuts,4389.651824
Karnataka,DAKSHIN KANNAD,Coconut,2001-02,Whole Year,15437,Hectare,65899000,Nuts,4268.899398
Karnataka,DAKSHIN KANNAD,Coconut,2002-03,Whole Year,15608,Hectare,66629000,Nuts,4268.900564
Karnataka,DAKSHIN KANNAD,Coconut,2003-04,Whole Year,15652,Hectare,66817000,Nuts,4268.911321
Karnataka,DAVANGERE,Coconut,2001-02,Whole Year,13116,Hectare,57575000,Nuts,4389.676731
Karnataka,DAVANGERE,Coconut,2002-03,Whole Year,13257,Hectare,58194000,Nuts,4389.680923
Karnataka,DAVANGERE,Coconut,2003-04,Whole Year,13051,Hectare,57289000,Nuts,4389.625316
Karnataka,DHARWAD,Coconut,2001-02,Whole Year,415,Hectare,1982000,Nuts,4775.903614
Karnataka,DHARWAD,Coconut,2002-03,Whole Year,418,Hectare,1996000,Nuts,4775.119617
Karnataka,DHARWAD,Coconut,2003-04,Whole Year,437,Hectare,2087000,Nuts,4775.743707
Karnataka,GADAG,Coconut,2001-02,Whole Year,391,Hectare,1867000,Nuts,4774.936061
Karnataka,GADAG,Coconut,2002-03,Whole Year,419,Hectare,2001000,Nuts,4775.656325
Karnataka,GADAG,Coconut,2003-04,Whole Year,522,Hectare,2492000,Nuts,4773.94636
Karnataka,GULBARGA,Coconut,2001-02,Whole Year,866,Hectare,4357000,Nuts,5031.177829
Karnataka,GULBARGA,Coconut,2002-03,Whole Year,872,Hectare,4387000,Nuts,5030.963303
Karnataka,GULBARGA,Coconut,2003-04,Whole Year,757,Hectare,3809000,Nuts,5031.704095
Karnataka,HASSAN,Coconut,2001-02,Whole Year,55056,Hectare,228596000,Nuts,4152.063354
Karnataka,HASSAN,Coconut,2002-03,Whole Year,57885,Hectare,240342000,Nuts,4152.060119
Karnataka,HASSAN,Coconut,2003-04,Whole Year,60075,Hectare,249435000,Nuts,4152.059925
Karnataka,HAVERI,Coconut,2001-02,Whole Year,1297,Hectare,6193000,Nuts,4774.865073
Karnataka,HAVERI,Coconut,2002-03,Whole Year,1852,Hectare,8843000,Nuts,4774.838013
Karnataka,HAVERI,Coconut,2003-04,Whole Year,1229,Hectare,5868000,Nuts,4774.613507
Karnataka,KODAGU,Coconut,2001-02,Whole Year,1338,Hectare,6393000,Nuts,4778.026906
Karnataka,KODAGU,Coconut,2002-03,Whole Year,1285,Hectare,6139000,Nuts,4777.431907
Karnataka,KODAGU,Coconut,2003-04,Whole Year,1292,Hectare,6173000,Nuts,4777.863777
Karnataka,KOLAR,Coconut,2001-02,Whole Year,2101,Hectare,7523000,Nuts,3580.675869
Karnataka,KOLAR,Coconut,2002-03,Whole Year,2101,Hectare,7523000,Nuts,3580.675869
Karnataka,KOLAR,Coconut,2003-04,Whole Year,2101,Hectare,7523000,Nuts,3580.675869
Karnataka,KOPPAL,Coconut,2001-02,Whole Year,1098,Hectare,5236000,Nuts,4768.67031
Karnataka,KOPPAL,Coconut,2002-03,Whole Year,492,Hectare,2346000,Nuts,4768.292683
Karnataka,KOPPAL,Coconut,2003-04,Whole Year,204,Hectare,973000,Nuts,4769.607843
Karnataka,MANDYA,Coconut,2001-02,Whole Year,17047,Hectare,61076000,Nuts,3582.800493
Karnataka,MANDYA,Coconut,2002-03,Whole Year,17882,Hectare,64068000,Nuts,3582.820714
Karnataka,MANDYA,Coconut,2003-04,Whole Year,17985,Hectare,64437000,Nuts,3582.819016
Karnataka,MYSORE,Coconut,2001-02,Whole Year,18765,Hectare,50122000,Nuts,2671.036504
Karnataka,MYSORE,Coconut,2002-03,Whole Year,19801,Hectare,52889000,Nuts,2671.026716
Karnataka,MYSORE,Coconut,2003-04,Whole Year,18005,Hectare,48092000,Nuts,2671.035823
Karnataka,RAICHUR,Coconut,2001-02,Whole Year,208,Hectare,992000,Nuts,4769.230769
Karnataka,RAICHUR,Coconut,2002-03,Whole Year,523,Hectare,2494000,Nuts,4768.642447
Karnataka,RAICHUR,Coconut,2003-04,Whole Year,496,Hectare,2365000,Nuts,4768.145161
Karnataka,SHIMOGA,Coconut,2001-02,Whole Year,6925,Hectare,18339000,Nuts,2648.231047
Karnataka,SHIMOGA,Coconut,2002-03,Whole Year,6820,Hectare,18061000,Nuts,2648.240469
Karnataka,SHIMOGA,Coconut,2003-04,Whole Year,6700,Hectare,17743000,Nuts,2648.208955
Karnataka,TUMKUR,Coconut,2001-02,Whole Year,110993,Hectare,547767000,Nuts,4935.149063
Karnataka,TUMKUR,Coconut,2002-03,Whole Year,111248,Hectare,549026000,Nuts,4935.15389
Karnataka,TUMKUR,Coconut,2003-04,Whole Year,109443,Hectare,540118000,Nuts,4935.153459
Karnataka,UDUPI,Coconut,2001-02,Whole Year,14003,Hectare,59777000,Nuts,4268.870956
Karnataka,UDUPI,Coconut,2002-03,Whole Year,14179,Hectare,60528000,Nuts,4268.848297
Karnataka,UDUPI,Coconut,2003-04,Whole Year,14319,Hectare,61126000,Nuts,4268.873525
Karnataka,UTTAR KANNAD,Coconut,2001-02,Whole Year,6069,Hectare,28864000,Nuts,4755.972977
Karnataka,UTTAR KANNAD,Coconut,2002-03,Whole Year,6162,Hectare,29306000,Nuts,4755.923401
Karnataka,UTTAR KANNAD,Coconut,2003-04,Whole Year,6224,Hectare,29601000,Nuts,4755.94473
Kerala,ALAPPUZHA,Coconut,2001-02,Whole Year,57047,Hectare,280000000,Nuts,4908.233562
Kerala,ALAPPUZHA,Coconut,2002-03,Whole Year,55407,Hectare,267000000,Nuts,4818.8857
Kerala,ALAPPUZHA,Coconut,2003-04,Whole Year,55982,Hectare,312000000,Nuts,5573.219964
Kerala,ERNAKULAM,Coconut,2001-02,Whole Year,62684,Hectare,343000000,Nuts,5471.890754
Kerala,ERNAKULAM,Coconut,2002-03,Whole Year,61034,Hectare,309000000,Nuts,5062.751909
Kerala,ERNAKULAM,Coconut,2003-04,Whole Year,57964,Hectare,311000000,Nuts,5365.399213
Kerala,IDUKKI,Coconut,2001-02,Whole Year,25603,Hectare,96000000,Nuts,3749.560598
Kerala,IDUKKI,Coconut,2002-03,Whole Year,25810,Hectare,104000000,Nuts,4029.445951
Kerala,IDUKKI,Coconut,2003-04,Whole Year,24383,Hectare,92000000,Nuts,3773.120617
Kerala,KANNUR,Coconut,2001-02,Whole Year,95712,Hectare,604000000,Nuts,6310.598462
Kerala,KANNUR,Coconut,2002-03,Whole Year,94217,Hectare,559000000,Nuts,5933.111859
Kerala,KANNUR,Coconut,2003-04,Whole Year,95278,Hectare,597000000,Nuts,6265.874599
Kerala,KASARAGOD,Coconut,2001-02,Whole Year,57285,Hectare,438000000,Nuts,7645.980623
Kerala,KASARAGOD,Coconut,2002-03,Whole Year,56236,Hectare,409000000,Nuts,7272.92126
Kerala,KASARAGOD,Coconut,2003-04,Whole Year,57811,Hectare,419000000,Nuts,7247.755617
Kerala,KOLLAM,Coconut,2001-02,Whole Year,74956,Hectare,425000000,Nuts,5669.993063
Kerala,KOLLAM,Coconut,2002-03,Whole Year,71310,Hectare,411000000,Nuts,5763.567522
Kerala,KOLLAM,Coconut,2003-04,Whole Year,67531,Hectare,439000000,Nuts,6500.718189
Kerala,KOTTAYAM,Coconut,2001-02,Whole Year,39429,Hectare,180000000,Nuts,4565.16777
Kerala,KOTTAYAM,Coconut,2002-03,Whole Year,41424,Hectare,213000000,Nuts,5141.946698
Kerala,KOTTAYAM,Coconut,2003-04,Whole Year,39286,Hectare,217000000,Nuts,5523.596192
Kerala,KOZHIKODE,Coconut,2001-02,Whole Year,130100,Hectare,895000000,Nuts,6879.323597
Kerala,KOZHIKODE,Coconut,2002-03,Whole Year,127402,Hectare,888000000,Nuts,6970.063264
Kerala,KOZHIKODE,Coconut,2003-04,Whole Year,129365,Hectare,898000000,Nuts,6941.599351
Kerala,MALAPPURAM,Coconut,2001-02,Whole Year,104171,Hectare,599000000,Nuts,5750.160793
Kerala,MALAPPURAM,Coconut,2002-03,Whole Year,107254,Hectare,787000000,Nuts,7337.72167
